35	60
15	73
28	32
2	60
75	82
67	60
77	71
11	2
32	2
34	40
83	2
80	39
37	2
38	2
57	46
79	16
72	16
63	16
36	16
16	69
30	19
8	69
68	69
71	42
1	66
66	42
29	42
25	42
12	42
62	42
58	42
9	24
20	24
43	47
4	47
55	47
3	46
39	38
9	38
81	38
33	38
6	49
66	70
73	70
56	70
62	70
54	70
46	84
24	84
76	84
14	82
48	40
23	40
55	40
4	40
64	53
31	16
19	53
36	71
8	71
72	71
53	71
68	18
10	74
45	42
69	74
24	2
57	74
61	74
42	74
18	51
8	51
22	51
16	59
48	59
47	59
70	59
71	59
40	59
38	7
49	39
7	44
5	44
18	44
13	44
59	44
27	50
41	50
82	50
17	50
65	60
78	60
50	60
74	21
51	21
84	44
44	21
60	21
